NOMBRE,PROTEINAS_DIARIAS_G,CARBOHIDRATOS_DIARIOS_G,HIDRATACION_DIARIA_L,CALORIAS_DIARIAS,PLAN_NUTRICION
GUUS BEAUMONT,143,393,2.9,3459,Plan mediterráneo adaptado
LUCA REGIARDO,114,419,3.1,2601,Equilibrado en macronutrientes
RONY JANSSON,178,335,4.4,3995,Plan mediterráneo adaptado
MATHEUS BABI,105,326,3.9,3351,Equilibrado en macronutrientes
MARKO IVEZIC,86,350,4.3,3473,"Alta proteína, moderado carbohidrato"
BRUNO CABRERA,111,220,3.2,3053,Enfoque en recuperación muscular
RUI MODESTO,103,365,3.2,3448,"Alta proteína, moderado carbohidrato"
SHANDRE CAMPBELL,138,435,2.8,2983,Equilibrado en macronutrientes
MARWAN AL-HAIDARI,112,363,2.8,3437,Equilibrado en macronutrientes
JOEL VOELKERLING PERSSON,113,245,3.0,3083,Equilibrado en macronutrientes
ALEXIS MAC ALLISTER,189,237,4.6,3799,Alto carbohidrato para rendimiento
YONY GONZÁLEZ,131,226,2.9,2867,Enfoque en recuperación muscular
LUAN CÂNDIDO,177,341,4.7,3536,Equilibrado en macronutrientes
CÉSAR MUNDER,139,205,4.4,3314,"Alta proteína, moderado carbohidrato"
NAHITAN NÁNDEZ,80,391,4.9,2885,Plan mediterráneo adaptado
MIKAYIL FAYE,180,379,4.3,2536,Equilibrado en macronutrientes
ENZO BOYOMO,80,425,3.2,3869,Plan mediterráneo adaptado
CALEB WILEY,134,330,3.2,3715,Enfoque en recuperación muscular
JADON SANCHO,197,207,3.9,2500,Alto carbohidrato para rendimiento
YANN BISSECK,158,344,2.5,3400,"Alta proteína, moderado carbohidrato"
SANTIAGO DITTBORN,114,432,3.1,2683,Alto carbohidrato para rendimiento
DOMINGOS DUARTE,130,334,3.8,2730,Equilibrado en macronutrientes
RODRIGO MÁRQUEZ,192,222,4.8,2774,Alto carbohidrato para rendimiento
KINGSTONE MUTANDWA,127,277,3.9,3027,Enfoque en recuperación muscular
NIKLAS CASTRO,198,404,4.8,3869,Alto carbohidrato para rendimiento
MORITZ JENZ,149,406,2.8,2697,Enfoque en recuperación muscular
YASIN ÖZCAN,172,280,3.6,2647,Equilibrado en macronutrientes
FELIX BEIJMO,199,278,4.4,2698,"Alta proteína, moderado carbohidrato"
VEGARD KONGSRO,152,409,3.7,3045,"Alta proteína, moderado carbohidrato"
ARTHUR VIANA,199,414,4.9,3515,"Alta proteína, moderado carbohidrato"
FLAVIEN TAIT,158,343,3.2,3597,Equilibrado en macronutrientes
KRISTIAN ERIKSEN,105,366,4.0,3566,Enfoque en recuperación muscular
İLKAY GÜNDOĞAN,159,201,4.6,2551,Plan mediterráneo adaptado
BRIGHT ARREY-MBI,84,434,3.1,3185,Alto carbohidrato para rendimiento
YOUSSOUF FOFANA,168,428,3.0,3029,Alto carbohidrato para rendimiento
ALEKSEY BARANOVSKIY,108,217,4.8,3143,Plan mediterráneo adaptado
MADS PEDERSEN,134,434,4.1,2661,"Alta proteína, moderado carbohidrato"
BEN WINTERBURN,170,233,4.6,3404,Alto carbohidrato para rendimiento
TAHA ALI,85,356,3.7,3977,Plan mediterráneo adaptado
CHRISTIAN BRAVO,168,422,3.3,3470,Enfoque en recuperación muscular
MARKO GUDŽULIĆ,119,429,3.0,3442,Enfoque en recuperación muscular
ÁLVARO DJALÓ,83,330,2.8,2942,Enfoque en recuperación muscular
ÁLVARO CAZULA,123,305,4.7,3555,Enfoque en recuperación muscular
KACPER URBANSKI,159,347,3.4,2630,Alto carbohidrato para rendimiento
FRANCISCO BREGANTE,192,448,3.8,3520,Alto carbohidrato para rendimiento
GEORGINIO RUTTER,81,322,3.7,2521,Equilibrado en macronutrientes
AMIN SARR,199,244,3.9,2833,Plan mediterráneo adaptado
FRANCO CERVI,98,309,4.5,3491,Enfoque en recuperación muscular
PETROS,157,211,2.8,3295,Alto carbohidrato para rendimiento
DERMANE KARIM,168,264,3.0,2770,Alto carbohidrato para rendimiento
SANTIAGO ROMERO,105,328,4.8,3763,Enfoque en recuperación muscular
CHRISTOPHER OPERI,154,245,3.1,3861,Alto carbohidrato para rendimiento
CAN KELEŞ,104,398,3.4,2635,Plan mediterráneo adaptado
FINN BECKER,90,394,4.8,3490,"Alta proteína, moderado carbohidrato"
SERGIO BERMEJO,101,427,2.7,2905,"Alta proteína, moderado carbohidrato"
CAMILO MAYADA,117,242,3.6,2799,Equilibrado en macronutrientes
MIN-JAE KIM,137,427,4.4,2518,Enfoque en recuperación muscular
NICOLAS SEIWALD,146,209,4.3,3066,Enfoque en recuperación muscular
MAJED OMAR KANABAH,174,257,2.9,3547,Equilibrado en macronutrientes
FEDERICO ALONSO,158,208,3.7,2546,Plan mediterráneo adaptado
LOÏS OPENDA,179,323,3.1,3892,Enfoque en recuperación muscular
GABRIEL GUDMUNDSSON,114,223,4.8,2691,"Alta proteína, moderado carbohidrato"
VIDAR ARI JÓNSSON,141,243,3.3,3541,Enfoque en recuperación muscular
ALFIE POND,120,274,2.6,3513,Equilibrado en macronutrientes
EL CHADAILLE BITSHIABU,103,316,3.9,3282,"Alta proteína, moderado carbohidrato"
HAITAM ALEESAMI,191,232,2.6,3831,Alto carbohidrato para rendimiento
ANTONEE ROBINSON,163,283,3.8,3467,Plan mediterráneo adaptado
MICKAËL BIRON,100,422,4.1,2973,Plan mediterráneo adaptado
LUCAS ARCE,135,242,4.1,2956,Alto carbohidrato para rendimiento
PARFAIT GUIAGON,182,352,4.5,2844,Enfoque en recuperación muscular
SVETOSLAV KOVACHEV,131,263,4.1,2996,"Alta proteína, moderado carbohidrato"
LUIZ ADRIANO,187,299,2.7,2597,Equilibrado en macronutrientes
FRANJO IVANOVIC,115,389,4.2,3643,Alto carbohidrato para rendimiento
AGUSTÍN MOREIRA,128,217,3.0,2792,"Alta proteína, moderado carbohidrato"
JOAQUÍN GARCÍA,111,433,4.7,2559,Alto carbohidrato para rendimiento
JUAN BERNAT,145,274,2.6,2810,Alto carbohidrato para rendimiento
MITCHEL BAKKER,188,354,2.9,3320,Plan mediterráneo adaptado
BENJAMÍN VALENZUELA,170,441,2.6,3669,Plan mediterráneo adaptado
FERNANDO CORNEJO,157,263,3.8,3104,Enfoque en recuperación muscular
HIANGA'A MBOCK,168,432,2.5,3579,Alto carbohidrato para rendimiento
MARSHALL MUNETSI,178,381,2.5,2681,Equilibrado en macronutrientes
DILAN ZÚÑIGA,83,309,2.7,2711,"Alta proteína, moderado carbohidrato"
SIMON JOHANSSON,103,359,4.9,3859,Enfoque en recuperación muscular
MARCELO DÍAZ,164,226,4.5,3984,Enfoque en recuperación muscular
MEES HILGERS,131,242,4.8,3808,Enfoque en recuperación muscular
LAMINE FANNE,83,328,3.1,3587,Enfoque en recuperación muscular
FRANCISCO BONFIGLIO,133,386,4.2,3020,Plan mediterráneo adaptado
FREDERIK GYTKJAER,175,443,2.9,3418,Enfoque en recuperación muscular
MELIH BOSTAN,125,255,4.1,3741,Enfoque en recuperación muscular
MUHAMMED GÜMÜŞKAYA,184,444,4.6,3038,Plan mediterráneo adaptado
ANDRÉS FERRARI,115,405,2.8,3590,Enfoque en recuperación muscular
ABDULBASIT HINDI,148,409,2.7,3755,Equilibrado en macronutrientes
BENJAMIN HENRICHS,170,419,4.8,3116,Alto carbohidrato para rendimiento
SEAN STEUR,193,217,3.0,2900,Alto carbohidrato para rendimiento
DODI LUKÉBAKIO,117,443,3.6,3965,"Alta proteína, moderado carbohidrato"
NICOLÁS VIKONIS,124,244,4.2,3848,Equilibrado en macronutrientes
DAMIAN VAN DER HAAR,145,266,3.4,2561,Equilibrado en macronutrientes
JOEY PELUPESSY,126,229,3.3,3248,Equilibrado en macronutrientes
TOBE LEYSEN,182,287,3.2,2810,"Alta proteína, moderado carbohidrato"
FAISAL AL-ABDULWAHED,89,432,3.3,2582,Plan mediterráneo adaptado
MARCOS PORTILLO,188,445,3.0,3166,Alto carbohidrato para rendimiento
LUCAS ALARIO,161,443,4.5,3956,"Alta proteína, moderado carbohidrato"
SONDRE SOLHOLM,191,277,2.8,3782,"Alta proteína, moderado carbohidrato"
RĂZVAN SAVA,153,274,2.8,2593,Enfoque en recuperación muscular
KARIM EL BERKAOUI,102,320,4.6,3460,Enfoque en recuperación muscular
LEWIS DUNK,90,271,4.2,3109,Enfoque en recuperación muscular
RODRIGO CHAGAS,87,445,3.2,3860,Enfoque en recuperación muscular
FIRAS AL-BURAIKAN,111,294,3.6,3797,Enfoque en recuperación muscular
ONNI VALAKARI,111,326,4.8,2839,Equilibrado en macronutrientes
SANTIAGO ASCACÍBAR,92,344,3.6,3834,Equilibrado en macronutrientes
FELIPE SÁNCHEZ,144,313,3.1,3944,Equilibrado en macronutrientes
GONZALO PLATA,82,328,4.1,3463,Plan mediterráneo adaptado
RICHARD LEYTON,164,371,3.3,2674,Plan mediterráneo adaptado
MATÍAS PLAZA,87,328,4.8,3743,Alto carbohidrato para rendimiento
ZELIMKHAN BAKAEV,135,402,3.7,3526,Enfoque en recuperación muscular
OGNJEN OZEGOVIC,87,289,4.3,3035,Alto carbohidrato para rendimiento
KONSTANTIN TYUKAVIN,155,284,4.8,2724,Plan mediterráneo adaptado
DIMITRIOS KOLOVETSIOS,107,437,3.6,3711,Alto carbohidrato para rendimiento
HUSSAIN AL-SULTAN,148,218,3.3,3635,"Alta proteína, moderado carbohidrato"
DANI VIVIAN,169,317,3.4,3152,Enfoque en recuperación muscular
BRANCO VAN DEN BOOMEN,179,226,5.0,2749,Enfoque en recuperación muscular
JEREMÍAS MERLO,101,249,4.3,3027,"Alta proteína, moderado carbohidrato"
ADRIÁN LEITES,197,318,4.4,2875,"Alta proteína, moderado carbohidrato"
MAURICIO LEMOS,92,288,2.8,3227,Plan mediterráneo adaptado
VILLADS NIELSEN,131,282,5.0,3318,Plan mediterráneo adaptado
MANSOUR HAMZI,130,215,2.9,2856,Enfoque en recuperación muscular
STEFAN MITROVIĆ,89,292,2.9,3287,Equilibrado en macronutrientes
GONÇALO INÁCIO,99,399,4.9,3181,"Alta proteína, moderado carbohidrato"
ISAIAH AHMED,124,206,3.2,3638,Plan mediterráneo adaptado
RAREȘ ILIE,151,345,4.2,3171,"Alta proteína, moderado carbohidrato"
LUAN,100,239,2.8,2556,Enfoque en recuperación muscular
DAL VARESANOVIC,166,367,4.4,2814,"Alta proteína, moderado carbohidrato"
JUAN SEBASTIÁN PEDROZA,190,323,3.8,3845,Alto carbohidrato para rendimiento
DENNIS MAN,129,397,4.5,3723,"Alta proteína, moderado carbohidrato"
LOGAN DELAURIER-CHAUBET,84,425,4.6,2768,"Alta proteína, moderado carbohidrato"
INTI LÓPEZ,150,266,4.4,3373,Plan mediterráneo adaptado
EDU RIBEIRO,151,334,3.5,3538,Alto carbohidrato para rendimiento
NICO GONZÁLEZ,186,442,3.0,2533,Enfoque en recuperación muscular
SEBASTIÁN PRIETO,140,449,3.7,3540,Equilibrado en macronutrientes
MUSAB AL-JUWAYR,98,218,2.8,3998,"Alta proteína, moderado carbohidrato"
IBRAHIMA KONÉ,141,221,4.4,2591,Enfoque en recuperación muscular
AYRTON LUCAS,83,344,3.9,2779,"Alta proteína, moderado carbohidrato"
MARKUS EDNER WÆHLER,99,299,4.4,3844,"Alta proteína, moderado carbohidrato"
EDUARDO FELICÍSSIMO,89,434,3.9,3303,Alto carbohidrato para rendimiento
RIKELME,94,213,4.1,3973,Plan mediterráneo adaptado
SVERRE NYPAN,111,325,3.8,2706,Plan mediterráneo adaptado
MATTEO GABBIA,119,283,2.7,3417,"Alta proteína, moderado carbohidrato"
LEANDRO HERNÁNDEZ,178,431,4.0,3684,Plan mediterráneo adaptado
CHRISTOPHER LUNGOYI,128,200,4.1,3496,Equilibrado en macronutrientes
EMMANUEL GONO,196,346,3.6,3163,"Alta proteína, moderado carbohidrato"
CRISTHIAN TIZÓN,80,339,2.5,3810,"Alta proteína, moderado carbohidrato"
SANTIAGO CORBO,173,333,4.2,3389,Enfoque en recuperación muscular
VIKTOR GUSTAFSON,93,409,2.6,3448,Equilibrado en macronutrientes
JOHN KENNEDY,160,216,3.7,3485,Equilibrado en macronutrientes
MAXIMILIANO CANTERA,160,435,4.6,3745,"Alta proteína, moderado carbohidrato"
JEANUËL BELOCIAN,176,362,2.6,2922,Plan mediterráneo adaptado
OMAR MASCARELL,190,209,3.4,3520,Alto carbohidrato para rendimiento
JULIÁN CARRASCO,82,261,4.4,3419,Enfoque en recuperación muscular
ENES ÜNAL,173,372,2.8,2512,Enfoque en recuperación muscular
JHOSUAN BERRÍOS,88,376,3.8,2616,Equilibrado en macronutrientes
LUCIANO ARNIJAS,142,244,4.1,3447,Enfoque en recuperación muscular
EDON ZHEGROVA,136,334,3.2,3798,"Alta proteína, moderado carbohidrato"
AMIR MURILLO,102,414,3.0,3166,Equilibrado en macronutrientes
FAISAL AL-GHAMDI,104,359,5.0,2884,Plan mediterráneo adaptado
EBENEZER OFORI,100,217,4.3,3110,Alto carbohidrato para rendimiento
EMILIANO MARTÍNEZ,160,326,3.8,3653,Enfoque en recuperación muscular
BEDIRHAN ÇETIN,160,429,3.8,3361,Enfoque en recuperación muscular
ÁNGELO MARTINO,195,287,5.0,3944,Plan mediterráneo adaptado
AHMED HASSAN,143,266,3.7,3025,Equilibrado en macronutrientes
IKER ALMENA,82,371,3.6,3433,"Alta proteína, moderado carbohidrato"
NICOLÁS GUERRA,120,414,3.8,2593,Plan mediterráneo adaptado
CONOR CHAPLIN,162,280,3.9,3499,Enfoque en recuperación muscular
AMMAR AL-DOHAIM,130,354,3.5,3563,Enfoque en recuperación muscular
MAXIMILIANO GONZÁLEZ,84,201,3.8,3057,Equilibrado en macronutrientes
MICHAEL VADULLI,99,286,3.6,3303,Enfoque en recuperación muscular
LUCAS BAÑOS,176,325,2.9,3142,"Alta proteína, moderado carbohidrato"
ROBIN YALÇIN,191,309,4.0,3811,"Alta proteína, moderado carbohidrato"
JACK COOPER-LOVE,153,256,3.7,3667,Equilibrado en macronutrientes
ALEXANDER OROZ,87,269,3.0,2966,Alto carbohidrato para rendimiento
ANDREY IVLEV,88,339,3.2,2826,Enfoque en recuperación muscular
RODRIGO SANDOVAL,121,252,3.2,2547,Enfoque en recuperación muscular
ADRIÁN EMBARBA,180,349,3.9,3842,Enfoque en recuperación muscular
JOÃO MÁRIO,172,443,3.6,3655,Plan mediterráneo adaptado
LEWIS ORFORD,157,302,4.4,3604,Equilibrado en macronutrientes
GUILHERME ARANA,104,388,4.2,3000,Alto carbohidrato para rendimiento
FILIP BUNDGAARD,184,296,2.6,3713,Enfoque en recuperación muscular
WLADIMIRO FALCONE,178,376,2.7,3036,"Alta proteína, moderado carbohidrato"
SAMU SAIZ,159,305,4.6,3825,Equilibrado en macronutrientes
IAN GLAVINOVICH,107,289,3.2,2569,Enfoque en recuperación muscular
GAUTHIER GALLON,175,350,4.4,3838,Alto carbohidrato para rendimiento
PEDER KLAUSEN,105,205,2.7,3878,Enfoque en recuperación muscular
MARCO PALESTRA,192,389,3.5,3463,Alto carbohidrato para rendimiento
BRIAN TORREALBA,98,421,3.7,3186,Enfoque en recuperación muscular
SULTAN FAQIHI,177,213,2.6,3469,Equilibrado en macronutrientes
LUCAS CHEVALIER,145,318,5.0,3194,Equilibrado en macronutrientes
DIDIER LAMKEL ZÉ,83,433,4.9,3669,Alto carbohidrato para rendimiento
MAKSIM KHRAMTSOV,181,278,3.9,2714,Alto carbohidrato para rendimiento
DANIEL JOB,90,413,4.1,3965,"Alta proteína, moderado carbohidrato"
ALEXANDER THONGLA-IAD WARNERYD,112,319,2.7,3208,Enfoque en recuperación muscular
MALANG SARR,149,214,4.7,2988,"Alta proteína, moderado carbohidrato"
NAHUEL DONADELL,105,430,2.6,3546,Enfoque en recuperación muscular
YOANN BARBET,113,296,3.0,2938,Alto carbohidrato para rendimiento
LUCIANO RECALDE,142,255,2.8,3451,Plan mediterráneo adaptado
MARCO MANCEBO,192,327,3.8,3904,Alto carbohidrato para rendimiento
AGUSTÍN JUAREZ,165,444,3.1,3639,Equilibrado en macronutrientes
RUBEN ALTE,157,352,4.6,2895,Plan mediterráneo adaptado
DJENÉ,85,341,2.5,2659,Enfoque en recuperación muscular
JORGE DE FRUTOS,100,391,3.4,3828,Equilibrado en macronutrientes
MATHIAS HEBO,133,260,2.8,2854,"Alta proteína, moderado carbohidrato"
LUCA LANGONI,89,402,4.1,2501,Alto carbohidrato para rendimiento
GIORGIAN DE ARRASCAETA,115,263,3.3,2765,Alto carbohidrato para rendimiento
MARTIN GJONE,161,326,3.1,3169,Plan mediterráneo adaptado
MATÍAS JIMÉNEZ,86,275,3.5,3709,Equilibrado en macronutrientes
ENRIC LLANSANA,165,328,4.4,3857,Alto carbohidrato para rendimiento
JONATAN GÓMEZ,172,353,4.0,2967,"Alta proteína, moderado carbohidrato"
SIMON STRAND,83,280,4.8,2688,"Alta proteína, moderado carbohidrato"
HERNÁN LABRAGA,181,386,4.5,3898,"Alta proteína, moderado carbohidrato"
ALEKSEY KASHTANOV,182,238,2.8,3351,Plan mediterráneo adaptado
EDUARDO VARGAS,81,373,5.0,3327,Plan mediterráneo adaptado
NICK GILLEKENS,199,320,3.1,2776,Plan mediterráneo adaptado
EDOARDO GOLDANIGA,85,396,3.2,2554,Enfoque en recuperación muscular
DAAN DIERCKX,184,426,3.3,3061,"Alta proteína, moderado carbohidrato"
SAEED SAHARKHIZAN,102,295,2.6,2831,Plan mediterráneo adaptado
ALFIE DEVINE,125,228,3.9,2904,Plan mediterráneo adaptado
GORKA RIVERA,111,252,4.5,3028,"Alta proteína, moderado carbohidrato"
FEDERICO SANTANDER,197,205,3.5,3744,"Alta proteína, moderado carbohidrato"
LEON KLASSEN,188,310,4.4,3233,Enfoque en recuperación muscular
DION KRASNIQI,130,291,3.4,2917,Alto carbohidrato para rendimiento
ALEXIS CUELLO,162,401,3.0,3389,"Alta proteína, moderado carbohidrato"
RASMUS WIEDESHEIM-PAUL,108,250,4.8,3145,"Alta proteína, moderado carbohidrato"
BASTOS,85,314,4.2,2837,Enfoque en recuperación muscular
MATEO ARGÜELLO,84,269,4.5,2772,Plan mediterráneo adaptado
FRANCO BECHTHOLDT,144,333,4.4,3502,"Alta proteína, moderado carbohidrato"
VITI ROZADA,175,417,4.4,3229,Enfoque en recuperación muscular
AUGUSTINE BOAKYE,124,393,4.4,3909,Alto carbohidrato para rendimiento
JULIUS NIELSEN,170,308,3.5,2839,Equilibrado en macronutrientes
TIAGO BANEGA,86,275,3.9,2944,Equilibrado en macronutrientes
IGOR VINÍCIUS,112,314,3.5,3976,"Alta proteína, moderado carbohidrato"
WOUTER PRINS,187,301,3.3,3894,Enfoque en recuperación muscular
MARCOS SENESI,191,418,3.6,3135,Equilibrado en macronutrientes
BRYAN CARVALLO,182,416,4.6,3893,Plan mediterráneo adaptado
LUCAS AMBROGIO,156,274,2.7,2967,"Alta proteína, moderado carbohidrato"
AGUSTÍN RODRÍGUEZ,169,377,3.7,2701,Alto carbohidrato para rendimiento
BARALHAS,139,297,4.9,3937,Enfoque en recuperación muscular
JEYLAND MITCHELL,104,384,2.9,3050,Plan mediterráneo adaptado
ALFONSO PAROT,87,380,4.9,2708,Equilibrado en macronutrientes
FRANCESCO ACERBI,183,282,3.2,3861,Alto carbohidrato para rendimiento
MANUEL KELIANO,97,360,4.0,3488,Enfoque en recuperación muscular
DOUGLAS COSTA,129,449,4.4,3620,Enfoque en recuperación muscular
JULIEN LE CARDINAL,91,290,3.8,2728,Plan mediterráneo adaptado
ALI AL-SALEM,122,356,4.2,3587,Equilibrado en macronutrientes
MATÍAS ESQUIVEL,176,250,4.6,3684,Enfoque en recuperación muscular
CELAL DUMANLI,126,358,4.1,2643,Equilibrado en macronutrientes
NUNZIO LELLA,96,284,4.6,3015,"Alta proteína, moderado carbohidrato"
DANIEL JEBBISON,161,217,4.6,3285,Equilibrado en macronutrientes
JORDAN JAMES,126,294,4.9,3515,Plan mediterráneo adaptado
ANDREA CARBONI,141,342,3.3,3072,Alto carbohidrato para rendimiento
PATRICK PENTZ,114,395,3.3,2677,Plan mediterráneo adaptado
ABEL RUIZ,199,335,3.7,3860,Plan mediterráneo adaptado
FACUNDO NÚÑEZ,135,337,4.4,2907,Equilibrado en macronutrientes
CAIO PAULISTA,129,201,3.4,2660,Alto carbohidrato para rendimiento
KEVIN LÓPEZ,189,229,3.8,3724,Alto carbohidrato para rendimiento
EMERSON RODRÍGUEZ,171,221,5.0,3221,Alto carbohidrato para rendimiento
DEHMAINE TABIBOU,148,323,3.7,3397,"Alta proteína, moderado carbohidrato"
OLLIE WATKINS,132,326,4.9,2993,Alto carbohidrato para rendimiento
ALLAN SAINT-MAXIMIN,186,278,3.8,3108,Enfoque en recuperación muscular
ROMAIN DEL CASTILLO,107,330,3.1,3959,"Alta proteína, moderado carbohidrato"
SENNE LYNEN,182,295,4.8,3673,"Alta proteína, moderado carbohidrato"
CRISTIÁN ZAVALA,86,372,3.7,3351,Plan mediterráneo adaptado
KAUÃ SANTOS,181,291,3.4,3634,Equilibrado en macronutrientes
ADAM WEBSTER,149,231,5.0,2600,Plan mediterráneo adaptado
JON GURIDI,135,290,3.3,3145,Enfoque en recuperación muscular
GINO PERUZZI,157,205,2.6,3814,Plan mediterráneo adaptado
PAU NAVARRO,113,218,3.9,3984,"Alta proteína, moderado carbohidrato"
SULEIMAN ABDULLAHI,108,281,3.8,2907,Alto carbohidrato para rendimiento
TEDDY TEUMA,91,417,4.9,2927,Equilibrado en macronutrientes
DIMITRY BERTAUD,197,337,4.3,2584,Plan mediterráneo adaptado
JONAS KRUMREY,122,433,4.7,2607,Plan mediterráneo adaptado
NICOLÒ FAGIOLI,163,379,3.6,3616,"Alta proteína, moderado carbohidrato"
BÜNYAMIN BALCI,86,264,4.9,3363,"Alta proteína, moderado carbohidrato"
JIMMY MARTÍNEZ,185,362,3.1,3197,Enfoque en recuperación muscular
MORITZ NICOLAS,196,237,3.8,2699,Equilibrado en macronutrientes
SIEBE SCHRIJVERS,119,410,3.4,3501,Plan mediterráneo adaptado
JEPPE KJÆR,88,414,2.5,3437,Alto carbohidrato para rendimiento
TOMÁS DURSO,99,249,4.1,3090,Alto carbohidrato para rendimiento
DANIEL PEIXOTO,188,313,3.8,3190,"Alta proteína, moderado carbohidrato"
ZEKI ÇELIK,139,313,3.4,3045,Alto carbohidrato para rendimiento
CARLOS VINÍCIUS,188,221,4.3,3929,Plan mediterráneo adaptado
AXEL ENCINAS,98,268,4.9,3566,Alto carbohidrato para rendimiento
AFONSO RODRIGUES,172,401,3.2,2640,"Alta proteína, moderado carbohidrato"
NAYEF HAZAZI,163,328,3.3,2525,Equilibrado en macronutrientes
JAKOB VOELKERLING PERSSON,104,411,3.3,3024,Alto carbohidrato para rendimiento
CRISTIAN FERREIRA,175,397,4.7,2539,Equilibrado en macronutrientes
CHIEDOZIE OGBENE,127,402,4.8,3085,Plan mediterráneo adaptado
GERMÁN PEZZELLA,124,378,4.9,3549,Alto carbohidrato para rendimiento
JOÃO COSTA,94,395,4.6,3705,Equilibrado en macronutrientes
MOHAMMED AL-QARNI,132,283,2.6,3272,Plan mediterráneo adaptado
MARIUS ELVIUS,172,308,3.2,2806,Equilibrado en macronutrientes
DANIEL SALES,186,301,4.2,3888,Alto carbohidrato para rendimiento
MATEJ KOVAR,179,339,3.0,3347,Plan mediterráneo adaptado
RÚBEN DIAS,167,249,2.7,3571,Enfoque en recuperación muscular
JONATHAN TOLEDO,162,339,3.7,3659,Equilibrado en macronutrientes
CRISTIAN PAVÓN,101,372,4.6,3424,Equilibrado en macronutrientes
ILYA ZHBANOV,146,407,4.9,3489,Plan mediterráneo adaptado
EMILIANO MÁRQUEZ,142,238,4.9,2541,Plan mediterráneo adaptado
JANIK HABERER,103,390,3.8,3047,"Alta proteína, moderado carbohidrato"
PEPE REINA,182,439,4.0,3286,Plan mediterráneo adaptado
JAMES JUSTIN,148,261,3.3,3879,Alto carbohidrato para rendimiento
YORBE VERTESSEN,144,318,3.7,3542,Alto carbohidrato para rendimiento
UROŠ RAČIĆ,157,211,4.0,2669,Alto carbohidrato para rendimiento
PATRICK NWADIKE,98,217,3.2,3966,Plan mediterráneo adaptado
MAKSIM SIDOROV,94,348,4.5,3569,Plan mediterráneo adaptado
HUSSEIN ALI,193,209,4.9,3919,Enfoque en recuperación muscular
BENEDIKT PICHLER,141,205,3.0,3925,Alto carbohidrato para rendimiento
FAHRI AY,91,427,4.9,3507,Equilibrado en macronutrientes
CÉDRIC KIPRÉ,193,233,4.0,2894,Plan mediterráneo adaptado
RODRIGO TELIZ,81,244,4.3,2677,"Alta proteína, moderado carbohidrato"
EVERTON GALDINO,138,392,4.1,3885,Enfoque en recuperación muscular
NIKLAS MOISANDER,91,419,4.9,2652,Alto carbohidrato para rendimiento
EXEQUIEL MERELES,134,283,5.0,3289,Equilibrado en macronutrientes
HENRIQUE ARREIOL,99,208,5.0,2874,Alto carbohidrato para rendimiento
DEAN JAMES,163,409,3.5,3503,"Alta proteína, moderado carbohidrato"
DANIL PRUTSEV,171,309,3.1,2916,Enfoque en recuperación muscular
ZION SUZUKI,157,341,4.8,3202,Enfoque en recuperación muscular
HÉLDER COSTA,128,213,4.5,2740,"Alta proteína, moderado carbohidrato"
JUAN ACOSTA,164,204,4.3,3143,Enfoque en recuperación muscular
MUATH FAGIHY,96,281,4.1,3306,"Alta proteína, moderado carbohidrato"
TOMÁS MOLINA,150,367,4.5,3378,"Alta proteína, moderado carbohidrato"
ABDULLAH AL-KHATEEB,192,302,3.6,3976,Equilibrado en macronutrientes
MOHANAD AL-QAYDHI,108,337,3.3,2842,"Alta proteína, moderado carbohidrato"
MARCO ASENSIO,172,330,3.1,3757,Equilibrado en macronutrientes
STEFAN DZODIC,94,315,4.2,3500,"Alta proteína, moderado carbohidrato"
FLORENT MOLLET,93,327,4.5,3935,Alto carbohidrato para rendimiento
SERGIO PALACIOS,109,411,4.3,3006,"Alta proteína, moderado carbohidrato"
FARIS MOUMBAGNA,141,286,3.0,3587,Enfoque en recuperación muscular
JAVI HERNÁNDEZ,171,235,5.0,3703,Plan mediterráneo adaptado
DIEGO COLLADO,88,274,3.3,3681,Enfoque en recuperación muscular
YOUNES AL SHANQEETI,118,206,3.1,3032,Enfoque en recuperación muscular
DIMITRIS EMMANOUILIDIS,195,416,2.7,3370,Enfoque en recuperación muscular
PELLE CLEMENT,115,356,3.2,3397,Alto carbohidrato para rendimiento
THOMAS ROBINET,182,272,4.6,3712,Equilibrado en macronutrientes
KURYU MATSUKI,85,411,4.7,3494,"Alta proteína, moderado carbohidrato"
RASMUS HOLTEN,87,222,4.4,3800,Equilibrado en macronutrientes
LISANDRO MONTENEGRO,157,271,4.7,3819,"Alta proteína, moderado carbohidrato"
CHIDO OBI-MARTIN,140,322,3.2,2509,Alto carbohidrato para rendimiento
SAMUEL ASOMA,167,441,4.7,2884,Enfoque en recuperación muscular
MELKER HEIER,194,343,4.2,3442,Alto carbohidrato para rendimiento
MATÍAS PELLEGRINI,110,300,3.1,2581,"Alta proteína, moderado carbohidrato"
CODY GAKPO,104,363,3.0,3939,Plan mediterráneo adaptado
EDDIE NKETIAH,162,290,3.1,2587,Enfoque en recuperación muscular
BRYAN CABEZAS,107,424,4.8,3020,Plan mediterráneo adaptado
LUCAS CASTRO,132,311,3.8,3531,Alto carbohidrato para rendimiento
ANDRÁS SCHÄFER,196,247,3.5,2646,Equilibrado en macronutrientes
JORDAN ZEMURA,174,314,3.4,2729,Equilibrado en macronutrientes
RUFINO LUCERO,149,333,3.8,3776,Equilibrado en macronutrientes
TRINCÃO,194,376,4.9,3434,Equilibrado en macronutrientes
